PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Jalen McCleskey,2563515,WR,FA,,,,,,,,,,,,,,,,,226,0.00
Ray-Ray McCloud,2560801,WR,PIT,,,,,,,,,,,,8.48,,,,,227,0.00
Isaiah McKenzie,2558129,WR,BUF,,,,,,,,,,,,11.21,,,,,228,0.00
Isaiah McKoy,2565786,WR,FA,,,,,,,,,,,,,,,,,229,0.00
Terry McLaurin,2562489,WR,WAS,,,,,,,,,,,,,,,,,230,0.00
Racey McMath,2566112,WR,TEN,,,,,,,,,,,,8.36,,,,,231,0.00
Kirk Merritt,2564481,WR,FA,,,,,,,,,,,,,,,,,232,0.00
DK Metcalf,2562685,WR,SEA,,,,,,,,,,,,,,,,,233,0.00
Jakobi Meyers,2562492,WR,NE,,,,,,,,,,,,,,,,,234,0.00
Marken Michel,2556616,WR,FA,,,,,,,,,,,,,,,,,235,0.00
Jaydon Mickens,2556861,WR,FA,,,,,,,,,,,,,,,,,236,0.00
Anthony Miller,2560810,WR,FA,,,,,,,,,,,,,,,,,237,0.00
Scott Miller,2562865,WR,TB,,,,,,,,,,,,,,,,,238,0.00
Dax Milne,2566601,WR,WAS,,,,,,,,,,,,,,,,,239,0.00
Denzel Mims,2564802,WR,NYJ,,,,,,,,,,,,6.07,,,,,240,0.00
Steven Mitchell,2560812,WR,FA,,,,,,,,,,,,,,,,,241,0.00
D.J. Montgomery,2562827,WR,FA,,,,,,,,,,,,,,,,,242,0.00
Darnell Mooney,2563707,WR,CHI,,,,,,,,,,,,,,,,,243,0.00
D.J. Moore,2560813,WR,CAR,,,,,,,,,,,,14.55,,,,,244,0.00
David Moore,2558856,WR,FA,,,,,,,,,,,,,,,,,245,0.00
Elijah Moore,2566385,WR,NYJ,,,,,,,,,,,,6.07,,,,,246,0.00
Jason Moore,2562860,WR,FA,,,,,,,,,,,,,,,,,247,0.00
Jaylon Moore,2565342,WR,FA,,,,,,,,,,,,,,,,,248,0.00
Rondale Moore,2566433,WR,ARI,,,,,,,,,,,,,,,,,249,0.00
Stanley Morgan,2562504,WR,CIN,,,,,,,,,,,,,,,,,250,0.00
JoJo Natson,2558905,WR,FA,,,,,,,,,,,,,,,,,251,0.00
J.J. Nelson,2552656,WR,FA,,,,,,,,,,,,,,,,,252,0.00
Dazz Newsome,2565932,WR,FA,,,,,,,,,,,,,,,,,253,0.00
Tre Nixon,2565681,WR,FA,,,,,,,,,,,,,,,,,254,0.00
Gunner Olszewski,2563329,WR,NE,,,,,,,,,,,,,,,,,255,0.00
K.J. Osborn,2564574,WR,MIN,,,,,,,,,,,,9.69,,,,,256,0.00
Josh Palmer,2566502,WR,LAC,,,,,,,,,,,,8.70,,,,,257,0.00
Aaron Parker,2563860,WR,FA,,,,,,,,,,,,,,,,,258,0.00
Zach Pascal,2558877,WR,IND,,,,,,,,,,,,11.04,,,,,259,0.00
Dezmon Patmon,2564130,WR,IND,,,,,,,,,,,,11.04,,,,,260,0.00
Tim Patrick,2558985,WR,DEN,,,,,,,,,,,,5.93,,,,,261,0.00
Josh Pearson,2565240,WR,FA,,,,,,,,,,,,,,,,,262,0.00
Donovan Peoples-Jones,2563803,WR,CLE,,,,,,,,,,,,8.16,,,,,263,0.00
Dante Pettis,2560836,WR,NYG,,,,,,,,,,,,11.37,,,,,264,0.00
De'Mornay Pierson-El,2561390,WR,FA,,,,,,,,,,,,,,,,,265,0.00
Michael Pittman,2564136,WR,IND,,,,,,,,,,,,11.04,,,,,266,0.00
Brandon Powell,2561261,WR,FA,,,,,,,,,,,,,,,,,267,0.00
Cornell Powell,2566187,WR,FA,,,,,,,,,,,,,,,,,268,0.00
Byron Pringle,2560844,WR,KC,,,,,,,,,,,,7.69,,,,,269,0.00
James Proche,2563572,WR,BAL,,,,,,,,,,,,9.31,,,,,270,0.00
Austin Proehl,2561160,WR,FA,,,,,,,,,,,,,,,,,271,0.00
Blake Proehl,2567019,WR,MIN,,,,,,,,,,,,9.69,,,,,272,0.00
Trey Quinn,2560847,WR,FA,,,,,,,,,,,,,,,,,273,0.00
Damion Ratley,2561054,WR,FA,,,,,,,,,,,,,,,,,274,0.00
Jalen Reagor,2564850,WR,PHI,,,,,,,,,,,,7.64,,,,,275,0.00
Joe Reed,2565069,WR,FA,,,,,,,,,,,,,,,,,276,0.00
Hunter Renfrow,2562712,WR,LV,,,,,,,,,,,,7.78,,,,,277,0.00
Josh Reynolds,2558194,WR,TEN,,,,,,,,,,,,8.36,,,,,278,0.00
A.J. Richardson,2563019,WR,FA,,,,,,,,,,,,,,,,,279,0.00
Calvin Ridley,2560854,WR,ATL,,,,,,,,,,,,8.48,,,,,280,0.00
Riley Ridley,2562713,WR,FA,,,,,,,,,,,,,,,,,281,0.00
