PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Kimani Vidal,2572486,RB,LAC,@JAX,,,,35.07,0.29,1.41,11.34,0.13,,,,0.11,7.65,33,214,0.00,-7.65
Kenneth Walker III,2568282,RB,SEA,@LAR,,,,45.57,0.38,1.32,9.82,0.08,,,,0.16,8.64,29,215,0.00,-8.64
Jonathan Ward,2564949,RB,NE,NYJ,,,,,,,,,,,,,0.00,223,216,0.00,0.0
Jaylen Warren,2568493,RB,PIT,CIN,,,,70.86,0.51,2.8,22.49,0.19,,,,0.16,14.62,11,217,0.00,-14.62
Carlos Washington,2570756,RB,ATL,CAR,,,,,,,,,,,,,0.00,224,218,0.00,0.0
Jordan Waters,2574282,RB,FA,Bye,,,,,,,,,,,,,,225,219,0.00,
Blake Watson,2573106,RB,TEN,HOU,,,,,,,,,,,,,0.00,226,220,0.00,0.0
Shane Watts,2574659,RB,FA,Bye,,,,,,,,,,,,,,227,221,0.00,
Ian Wheeler,2572977,RB,FA,Bye,,,,,,,,,,,,,,228,222,0.00,
Jalen White,2574139,RB,FA,Bye,,,,,,,,,,,,,,229,223,0.00,
Rachaad White,2568315,RB,TB,@BUF,,,,23.29,0.24,1.53,10.16,0.11,,,,0.12,5.97,42,224,0.00,-5.97
Zamir White,2567883,RB,LV,DAL,,,,3.72,0.02,0.08,0.67,,,,,0.01,0.58,83,225,0.00,-0.58
Michael Wiley,2573614,RB,TB,@BUF,,,,,,,,,,,,,0.00,230,226,0.00,0.0
Avery Williams,2565833,RB,FA,Bye,,,,,,,,,,,,,,231,227,0.00,
D.J. Williams,2573590,RB,FA,Bye,,,,,,,,,,,,,,232,228,0.00,
