PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Kawaan Baker,2566349,WR,NO,,,,,,,,,,,,,3.97,,,,,,,,,,51,0.00
Rashod Bateman,2565836,WR,BAL,,,,,,,,,,,,,6.76,,,,,,,,,,52,0.00
Cameron Batson,2561521,WR,TEN,,,,,,,,,,,,,5.44,,,,,,,,,,53,0.00
Omar Bayless,2563623,WR,FA,,,,,,,,,,,,,,,,,,,,,,,54,0.00
Odell Beckham Jr.,2543496,WR,LA,,,,,,,,,,,,,6.89,,,,,,,,,,55,0.00
Chad Beebe,2561482,WR,MIN,,,,,,,,,,,,,6.75,,,,,,,,,,56,0.00
Reggie Begelton,2563446,WR,FA,,,,,,,,,,,,,,,,,,,,,,,57,0.00
Travis Benjamin,2532790,WR,SF,,,,,,,,,,,,,7.03,,,,,,,,,,58,0.00
Trinity Benson,2563035,WR,DET,,,,,,,,,,,,,8.48,,,,,,,,,,59,0.00
Braxton Berrios,2560975,WR,NYJ,,,,,,,,,,,,,4.86,,,,,,,,,,60,0.00
Tarik Black,2565594,WR,IND,,,,,,,,,,,,,8.00,,,,,,,,,,61,0.00
Justin Blackmon,2533038,WR,FA,,,,,,,,,,,,,,,,,,,,,,,62,0.00
Chris Blair,2565588,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,63,0.00
Christian Blake,2561443,WR,ATL,,,,,,,,,,,,,6.37,,,,,,,,,,64,0.00
C.J. Board,2558911,WR,NYG,,,,,,,,,,,,,8.34,,,,,,,,,,65,0.00
Victor Bolden,2558912,WR,FA,,,,,,,,,,,,,,,,,,,,,,,66,0.00
Kendrick Bourne,2558914,WR,NE,,,,,,,,,,,,,8.06,,,,,,,,,,67,0.00
Lynn Bowden,2564412,WR,MIA,,,,,,,,,,,,,5.98,,,,,,,,,,68,0.00
Tyler Boyd,2555466,WR,CIN,,,,,,,,,,,,,7.89,,,,,,,,,,69,0.00
Miles Boykin,2562631,WR,BAL,,,,,,,,,,,,,6.76,,,,,,,,,,70,0.00
Ja'Marcus Bradley,2563761,WR,CLE,,,,,,,,,,,,,8.83,,,,,,,,,,71,0.00
A.J. Brown,2562238,WR,TEN,,,,,,,,,,,,,5.44,,,,,,,,,,72,0.00
Dyami Brown,2566586,WR,WAS,,,,,,,,,,,,,7.62,,,,,,,,,,73,0.00
Fred Brown,2559396,WR,FA,,,,,,,,,,,,,,,,,,,,,,,74,0.00
Marquise Brown,2562379,WR,BAL,,,,,,,,,,,,,6.76,,,,,,,,,,75,0.00
Noah Brown,2558091,WR,DAL,,,,,,,,,,,,,8.65,,,,,,,,,,76,0.00
Tony Brown,2563764,WR,FA,,,,,,,,,,,,,,,,,,,,,,,77,0.00
Ventell Bryant,2563267,WR,FA,,,,,,,,,,,,,,,,,,,,,,,78,0.00
Rico Bussey,2565780,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,79,0.00
Hakeem Butler,2562491,WR,FA,,,,,,,,,,,,,,,,,,,,,,,80,0.00
Damiere Byrd,2553499,WR,CHI,,,,,,,,,,,,,5.83,,,,,,,,,,81,0.00
Lawrence Cager,2565492,WR,CLE,,,,,,,,,,,,,8.83,,,,,,,,,,82,0.00
Deon Cain,2560987,WR,PHI,,,,,,,,,,,,,8.43,,,,,,,,,,83,0.00
Antonio Callaway,2560988,WR,FA,,,,,,,,,,,,,,,,,,,,,,,84,0.00
Marquez Callaway,2565310,WR,NO,,,,,,,,,,,,,3.97,,,,,,,,,,85,0.00
Jalen Camp,2566148,WR,HOU,,,,,,,,,,,,,9.52,,,,,,,,,,86,0.00
Parris Campbell,2562495,WR,IND,,,,,,,,,,,,,8.00,,,,,,,,,,87,0.00
Dylan Cantrell,2560990,WR,WAS,,,,,,,,,,,,,7.62,,,,,,,,,,88,0.00
DeAndre Carter,2553502,WR,WAS,,,,,,,,,,,,,7.62,,,,,,,,,,89,0.00
Quintez Cephus,2563926,WR,DET,,,,,,,,,,,,,8.48,,,,,,,,,,90,0.00
D.J. Chark,2561018,WR,JAX,,,,,,,,,,,,,5.58,,,,,,,,,,91,0.00
Ja'Marr Chase,2565941,WR,CIN,,,,,,,,,,,,,7.89,,,,,,,,,,92,0.00
Dan Chisena,2564514,WR,MIN,,,,,,,,,,,,,6.75,,,,,,,,,,93,0.00
Chase Claypool,2564970,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,94,0.00
Tyrie Cleveland,2563881,WR,DEN,,,,,,,,,,,,,6.21,,,,,,,,,,95,0.00
Randall Cobb,2495448,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,96,0.00
Keelan Cole,2559153,WR,NYJ,,,,,,,,,,,,,4.86,,,,,,,,,,97,0.00
Matt Cole,2564442,WR,CAR,,,,,,,,,,,,,7.16,,,,,,,,,,98,0.00
Nico Collins,2566127,WR,HOU,,,,,,,,,,,,,9.52,,,,,,,,,,99,0.00
Pharoh Cooper,2555419,WR,NYG,,,,,,,,,,,,,8.34,,,,,,,,,,100,0.00
Isaiah Coulter,2564067,WR,CHI,,,,,,,,,,,,,5.83,,,,,,,,,,101,0.00
Keke Coutee,2561029,WR,IND,,,,,,,,,,,,,8.00,,,,,,,,,,102,0.00
River Cracraft,2559485,WR,SF,,,,,,,,,,,,,7.03,,,,,,,,,,103,0.00
Frank Darby,2565812,WR,ATL,,,,,,,,,,,,,6.37,,,,,,,,,,104,0.00
Jaelon Darden,2566562,WR,TB,,,,,,,,,,,,,6.74,,,,,,,,,,105,0.00
