PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Terrance Mitchell,2543637,DB,TEN,Bye,,,,,,,,,,,,,,,,,,312,0.00
Tre'von Moehrig,2566268,DB,LV,Bye,,,,,,,,,,,,,,,,,,313,0.00
Jovante Moffatt,2563797,DB,ATL,SF,,,,,,,,,,,,,,,,,,314,0.00
Elijah Molden,2566115,DB,TEN,Bye,,,,,,,,,,,,,,,,,,315,0.00
A.J. Moore,2561538,DB,TEN,Bye,,,,,,,,,,,,,,,,,,316,0.00
C.J. Moore,2563193,DB,FA,Bye,,,,,,,,,,,,,,,,,,317,0.00
Chris Moore,2567295,DB,FA,Bye,,,,,,,,,,,,,,,,,,318,0.00
Kenny Moore II,2558976,DB,IND,JAX,,,,,,,,,,,,,,,,,,319,0.00
Tarvarius Moore,2561117,DB,SF,@ATL,,,,,,,,,,,,,,,,,,320,0.00
Jimmy Moreland,2562858,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,321,0.00
Emmanuel Moseley,2561072,DB,SF,@ATL,,,,,,,,,,,,,,,,,,322,0.00
Parnell Motley,2565237,DB,FA,Bye,,,,,,,,,,,,,,,,,,323,0.00
Israel Mukuamu,2566013,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,324,0.00
Trayvon Mullen,2562380,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,325,0.00
Byron Murphy,2562318,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,326,0.00
Sean Murphy-Bunting,2562635,DB,TB,@PIT,,,,,,,,,,,,,,,,,,327,0.00
Eric Murray,2555173,DB,HOU,Bye,,,,,,,,,,,,,,,,,,328,0.00
Alexander Myres,2562967,DB,FA,Bye,,,,,,,,,,,,,,,,,,329,0.00
Kai Nacua,2559220,DB,FA,Bye,,,,,,,,,,,,,,,,,,330,0.00
Keanu Neal,2555543,DB,TB,@PIT,,,,,,,,,,,,,,,,,,331,0.00
