PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jack Westover,2572786,TE,FA,Bye,,,,,,,,,,,,,,202,0.00,
Blake Whiteheart,2571077,TE,CLE,BAL,,,,,,,,,,,,,0.00,203,0.00,0.0
Josh Whyle,2569810,TE,TEN,@DET,,,,,,,,,,,,,2.37,204,0.00,-2.37
Mitchell Wilcox,2563749,TE,NE,NYJ,,,,,,,,,,,,,0.00,205,0.00,0.0
Jared Wiley,2572183,TE,KC,@LV,,,,,,,,,,,,,1.58,206,0.00,-1.58
Rod Williams,2569366,TE,PIT,NYG,,,,,,,,,,,,,0.00,207,0.00,0.0
Brayden Willis,2570293,TE,SF,DAL,,,,,,,,,,,,,0.00,208,0.00,0.0
Joel Wilson,2571724,TE,NYG,@PIT,,,,,,,,,,,,,0.00,209,0.00,0.0
Charlie Woerner,2565129,TE,ATL,@TB,,,,,,,,,,,,,0.69,210,0.00,-0.69
Jelani Woods,2567724,TE,IND,@HOU,,,,,,,,,,,,,0.00,211,0.00,0.0
Brock Wright,2567221,TE,DET,TEN,,,,,,,,,,,,,0.00,212,0.00,0.0
Thomas Yassmin,2573109,TE,DEN,CAR,,,,,,,,,,,,,0.00,213,0.00,0.0
Kenny Yeboah,2565768,TE,NYJ,@NE,,,,,,,,,,,,,0.00,214,0.00,0.0
Shane Zylstra,2567172,TE,DET,TEN,,,,,,,,,,,,,0.00,215,0.00,0.0
