PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Javelin Guidry,2565504,DB,NYJ,@DEN,,3,,,,,,,,,,,,,,,,3.89,187,2.40,3.89,-1.49
Antonio Hamilton,2556804,DB,ARI,@JAX,,1,,,,,1,,,,,,,,,,,2.57,188,1.80,2.57,-0.77
Damon Arnette,2564409,DB,FA,Bye,1,,,,,,,,,,,,,,,,,,189,1.70,,
Chidobe Awuzie,2557840,DB,CIN,@PIT,1,,,,,,,,,,,,,,,,,9.45,190,1.70,9.45,-7.75
Andre Chachere,2561016,DB,PHI,@DAL,1,,,,,,,,,,,,,,,,,0.83,191,1.70,0.83,0.87
Cody Davis,2541135,DB,NE,NO,1,,,,,,,,,,,,,,,,,0.00,192,1.70,0.0,1.7
Divine Deablo,2566253,DB,LV,MIA,1,,,,,,,,,,,,,,,,,0.00,193,1.70,0.0,1.7
Matthias Farley,2556429,DB,TEN,IND,1,,,,,,,,,,,,,,,,,1.28,194,1.70,1.28,0.42
C.J. Goodwin,2550767,DB,DAL,PHI,1,,,,,,,,,,,,,,,,,0.75,195,1.70,0.75,0.95
J.T. Gray,2561206,DB,NO,@NE,1,,,,,,,,,,,,,,,,,0.96,196,1.70,0.96,0.74
A.J. Green,2563782,DB,CLE,CHI,1,,,,,,,,,,,,,,,,,0.00,197,1.70,0.0,1.7
Duron Harmon,2541243,DB,ATL,@NYG,1,,,,,,,,,,,,,,,,,8.32,198,1.70,8.32,-6.62
Darnay Holmes,2564739,DB,NYG,ATL,1,,,,,,,,,,,,,,,,,4.02,199,1.70,4.02,-2.32
Talanoa Hufanga,2566529,DB,SF,GB,1,,,,,,,,,,,,,,,,,1.26,200,1.70,1.26,0.44
Noah Igbinoghene,2564457,DB,MIA,@LV,1,,,,,,,,,,,,,,,,,1.24,201,1.70,1.24,0.46
Jaquan Johnson,2562676,DB,BUF,WAS,1,,,,,,,,,,,,,,,,,0.76,202,1.70,0.76,0.94
Justin Layne,2562479,DB,PIT,CIN,1,,,,,,,,,,,,,,,,,1.39,203,1.70,1.39,0.31
Deommodore Lenoir,2566535,DB,SF,GB,1,,,,,,,,,,,,,,,,,9.64,204,1.70,9.64,-7.94
Trevon Moehrig,2566268,DB,LV,MIA,1,,,,,,,,,,,,,,,,,9.01,205,1.70,9.01,-7.31
Elijah Molden,2566115,DB,TEN,IND,1,,,,,,,,,,,,,,,,,8.54,206,1.70,8.54,-6.84
Fabian Moreau,2558136,DB,ATL,@NYG,1,,,,,,,,,,,,,,,,,7.98,207,1.70,7.98,-6.28
George Odum,2561131,DB,IND,@TEN,1,,,,,,,,,,,,,,,,,0.63,208,1.70,0.63,1.07
